,date,infected,susceptible,removed
0,2020-02-24,221,60359771,8
1,2020-02-25,311,60359678,11
2,2020-02-26,385,60359600,15
3,2020-02-27,588,60359350,62
4,2020-02-28,821,60359112,67
5,2020-02-29,1049,60358872,79
6,2020-03-01,1577,60358306,117
7,2020-03-02,1835,60357964,201
8,2020-03-03,2263,60357498,239
9,2020-03-04,2706,60356911,383
10,2020-03-05,3296,60356142,562
11,2020-03-06,3916,60355364,720
12,2020-03-07,5061,60354117,822
13,2020-03-08,6387,60352625,988
14,2020-03-09,7985,60350828,1187
15,2020-03-10,8514,60349851,1635
16,2020-03-11,10590,60347538,1872
17,2020-03-12,12839,60344887,2274
18,2020-03-13,14955,60342340,2705
19,2020-03-14,17750,60338843,3407
20,2020-03-15,20603,60335253,4144
21,2020-03-16,23073,60332020,4907
22,2020-03-17,26062,60328494,5444
23,2020-03-18,28710,60324287,7003
24,2020-03-19,33190,60318965,7845
25,2020-03-20,37860,60312979,9161
26,2020-03-21,42681,60306422,10897
27,2020-03-22,46638,60300862,12500
28,2020-03-23,50418,60296073,13509
29,2020-03-24,54030,60290824,15146
30,2020-03-25,57521,60285614,16865
31,2020-03-26,62013,60279461,18526
32,2020-03-27,66414,60273502,20084
33,2020-03-28,70065,60267528,22407
34,2020-03-29,73880,60262311,23809
35,2020-03-30,75528,60258261,26211
36,2020-03-31,77635,60254208,28157
37,2020-04-01,80572,60249426,30002
38,2020-04-02,83049,60244758,32193
39,2020-04-03,85388,60240173,34439
40,2020-04-04,88274,60235368,36358
41,2020-04-05,91246,60231052,37702
42,2020-04-06,93187,60227453,39360
43,2020-04-07,94067,60224414,41519
44,2020-04-08,95262,60220578,44160
45,2020-04-09,96877,60216374,46749
46,2020-04-10,98273,60212423,49304
47,2020-04-11,100269,60207729,52002
48,2020-04-12,102253,60203637,54110
49,2020-04-13,103616,60200484,55900
50,2020-04-14,104291,60197512,58197
51,2020-04-15,105418,60194845,59737
52,2020-04-16,106607,60191059,62334
53,2020-04-17,106962,60187566,65472
54,2020-04-18,107771,60184075,68154
55,2020-04-19,108257,60181028,70715
56,2020-04-20,108237,60178772,72991
57,2020-04-21,107709,60176043,76248
58,2020-04-22,107699,60172673,79628
59,2020-04-23,106848,60170027,83125
60,2020-04-24,106527,60167006,86467
61,2020-04-25,105847,60164649,89504
62,2020-04-26,106103,60162325,91572
63,2020-04-27,105813,60160586,93601
64,2020-04-28,105205,60158495,96300
65,2020-04-29,104657,60156409,98934
66,2020-04-30,101551,60154537,103912
67,2020-05-01,100943,60152572,106485
68,2020-05-02,100704,60150672,108624
69,2020-05-03,100179,60149283,110538
70,2020-05-04,99980,60148062,111958
71,2020-05-05,98467,60146987,114546
72,2020-05-06,91528,60145543,122929
73,2020-05-07,89624,60144142,126234
74,2020-05-08,87961,60142815,129224
75,2020-05-09,84842,60141732,133426
76,2020-05-10,83324,60140930,135746
77,2020-05-11,82488,60140186,137326
78,2020-05-12,81266,60138784,139950
79,2020-05-13,78457,60137896,143647
80,2020-05-14,76440,60136904,146656
81,2020-05-15,72070,60136115,151815
82,2020-05-16,70187,60135240,154573
83,2020-05-17,68351,60134565,157084
84,2020-05-18,66553,60134114,159333
85,2020-05-19,65129,60133301,161570
86,2020-05-20,62752,60132636,164612
87,2020-05-21,60960,60131994,167046
88,2020-05-22,59322,60131342,169336
89,2020-05-23,57752,60130673,171575
90,2020-05-24,56594,60130142,173264
91,2020-05-25,55300,60129842,174858
92,2020-05-26,52942,60129445,177613
93,2020-05-27,50966,60128861,180173
94,2020-05-28,47986,60128268,183746
