date,infected,susceptible,removed
2020-02-24,221,771,8
2020-02-25,311,678,11
2020-02-26,385,600,15
2020-02-27,588,350,62
2020-02-28,821,112,67
2020-02-29,1049,-128,79
2020-03-01,1577,-694,117
2020-03-02,1835,-1036,201
2020-03-03,2263,-1502,239
2020-03-04,2706,-2089,383
2020-03-05,3296,-2858,562
2020-03-06,3916,-3636,720
2020-03-07,5061,-4883,822
2020-03-08,6387,-6375,988
2020-03-09,7985,-8172,1187
2020-03-10,8514,-9149,1635
2020-03-11,10590,-11462,1872
2020-03-12,12839,-14113,2274
2020-03-13,14955,-16660,2705
2020-03-14,17750,-20157,3407
2020-03-15,20603,-23747,4144
2020-03-16,23073,-26980,4907
2020-03-17,26062,-30506,5444
2020-03-18,28710,-34713,7003
2020-03-19,33190,-40035,7845
2020-03-20,37860,-46021,9161
2020-03-21,42681,-52578,10897
2020-03-22,46638,-58138,12500
2020-03-23,50418,-62927,13509
2020-03-24,54030,-68176,15146
2020-03-25,57521,-73386,16865
2020-03-26,62013,-79539,18526
2020-03-27,66414,-85498,20084
2020-03-28,70065,-91472,22407
2020-03-29,73880,-96689,23809
2020-03-30,75528,-100739,26211
2020-03-31,77635,-104792,28157
2020-04-01,80572,-109574,30002
2020-04-02,83049,-114242,32193
2020-04-03,85388,-118827,34439
2020-04-04,88274,-123632,36358
2020-04-05,91246,-127948,37702
2020-04-06,93187,-131547,39360
2020-04-07,94067,-134586,41519
2020-04-08,95262,-138422,44160
2020-04-09,96877,-142626,46749
2020-04-10,98273,-146577,49304
2020-04-11,100269,-151271,52002
2020-04-12,102253,-155363,54110
2020-04-13,103616,-158516,55900
2020-04-14,104291,-161488,58197
2020-04-15,105418,-164155,59737
2020-04-16,106607,-167941,62334
2020-04-17,106962,-171434,65472
2020-04-18,107771,-174925,68154
2020-04-19,108257,-177972,70715
2020-04-20,108237,-180228,72991
2020-04-21,107709,-182957,76248
2020-04-22,107699,-186327,79628
2020-04-23,106848,-188973,83125
2020-04-24,106527,-191994,86467
2020-04-25,105847,-194351,89504
2020-04-26,106103,-196675,91572
2020-04-27,105813,-198414,93601
2020-04-28,105205,-200505,96300
2020-04-29,104657,-202591,98934
2020-04-30,101551,-204463,103912
2020-05-01,100943,-206428,106485
2020-05-02,100704,-208328,108624
2020-05-03,100179,-209717,110538
2020-05-04,99980,-210938,111958
2020-05-05,98467,-212013,114546
2020-05-06,91528,-213457,122929
2020-05-07,89624,-214858,126234
2020-05-08,87961,-216185,129224
2020-05-09,84842,-217268,133426
2020-05-10,83324,-218070,135746
2020-05-11,82488,-218814,137326
2020-05-12,81266,-220216,139950
2020-05-13,78457,-221104,143647
2020-05-14,76440,-222096,146656
2020-05-15,72070,-222885,151815
2020-05-16,70187,-223760,154573
2020-05-17,68351,-224435,157084
2020-05-18,66553,-224886,159333
2020-05-19,65129,-225699,161570
2020-05-20,62752,-226364,164612
2020-05-21,60960,-227006,167046
2020-05-22,59322,-227658,169336
2020-05-23,57752,-228327,171575
2020-05-24,56594,-228858,173264
2020-05-25,55300,-229158,174858
2020-05-26,52942,-229555,177613
2020-05-27,50966,-230139,180173
2020-05-28,47986,-230732,183746
